model,n,psnr,psnr_std,ssim,ssim_std,mae,mae_std,mse,mse_std,pcc,pcc_std,org_psnr,org_psnr_std,org_ssim,org_ssim_std,org_mae,org_mae_std,org_mse,org_mse_std,org_pcc,org_pcc_std,body_psnr,body_psnr_std,body_ssim,body_ssim_std,body_mae,body_mae_std,body_frac,body_frac_std,raps_hf,raps_hf_std,grad_w1,grad_w1_std,org_grad_w1,org_grad_w1_std,seam,seam_std,zflicker,zflicker_std,zaniso,zaniso_std,lpips,lpips_std,rad_dist,rad_dist_std,phase_acc,agree_real,gen_prob,feature_l1_hu,phase_acc_std,agree_real_std,gen_prob_std,feature_l1_hu_std,lev_beta,lev_varr,lev_beta_std,lev_varr_std,fid,fid_n_slices,fid_rad
b0_groupnorm_adv,20,29.905555388527734,1.5759466466817864,0.939023051242312,0.009390276738429008,0.010707558160652995,0.0016126805168550067,0.0010955553923848913,0.00047746599607129917,0.9860364691578812,0.006313835919462624,23.831281213417263,1.5383973719627546,0.9633317826935229,0.016175964027264393,0.035058914341537344,0.004946977090201274,0.004427934228398264,0.001947144705862243,0.9634399313395017,0.016097486949107474,25.082979262976316,1.8913554707403077,0.9607128179531342,0.02041669524635911,0.03151714864472122,0.0064178253366008855,0.3174047833349546,0.05435824493303565,0.8006099634318709,0.07242951869757785,0.0017410167323459714,0.000535918944741688,0.006029131922255957,0.0015327482495519442,1.3705434303632975,0.22594945262955352,0.9273883337990139,0.06003314457565008,1.1053905881029245,0.061854168522149505,0.05372312031686306,0.013386501336121947,0.04217633251100779,0.012734670793174743,1.0,1.0,0.9636294811964035,26.75636937005179,0.0,0.0,0.08794217781994426,9.16647063079541,0.11155419448539151,0.17626904421995393,0.11929147265788513,0.17414380165691887,17.401093760978938,5459,0.11081193045399385
cyclegan,20,29.877099384781086,1.7250688283150846,0.9381155601098342,0.011476128827568011,0.010293000771824773,0.0018973774727103136,0.0011157364067332389,0.0005118019747799423,0.9857953643525506,0.006325203430248539,24.094100609459748,1.6097464710978844,0.9649616608537432,0.016310673815103163,0.03349473751788175,0.005334723606601821,0.004201474604308812,0.0020033297129415572,0.9652080406882723,0.016164596135536974,25.284273357432944,1.948169984518121,0.9617512767867114,0.020296797522746667,0.030848715050803242,0.006680953587694991,0.3174047833349546,0.05435824493303565,0.7376152846994238,0.07926129442893229,0.0012407527850098045,0.0007620010017817954,0.002322275785874091,0.0008239484273492128,nan,nan,1.0433659071808326,0.07954034477237742,1.157949428536535,0.08652600932911127,0.05234446097165346,0.013561105763279187,0.0349507924169302,0.010677047857455527,1.0,1.0,0.934911048412323,18.66354547773089,0.0,0.0,0.13938681892992427,6.908320694399078,0.3714939601816084,0.5635410886628764,0.09529495960137015,0.13650287059467534,11.14978999485922,5459,0.08414625710278667
cytran,20,28.87242456874887,1.4045692862764934,0.9295520190963774,0.011185178772697146,0.012704495495946752,0.001853404134047243,0.0013685467771573025,0.000508327728196975,0.9834654317963769,0.006223403785005298,22.699790387976037,1.388968317243505,0.9547267116792147,0.017691989773018803,0.04514492431042598,0.008146239522465012,0.005669544291741804,0.0021725451731825995,0.9579906002911892,0.015917286206275666,24.141854124675753,1.6783040228564465,0.9517969959426923,0.021092263472730938,0.038740065375324914,0.007446613289449926,0.3174047833349546,0.05435824493303565,0.7435992330811068,0.07116339209274075,0.0014704412139644807,0.0006589454254938285,0.003095356484037093,0.0016027902314571074,nan,nan,1.0737592963450364,0.08744072688875176,1.2122486759701026,0.08632217599858887,0.05197472460567951,0.010282126846982483,0.03981861127540469,0.011530095343425232,0.35,0.35,0.2839084232924506,38.121326066879995,0.1066536450385077,0.1066536450385077,0.27323867567905863,12.813361389763417,0.08878741286431742,0.5516865890517332,0.2751449749301616,0.11392988562898612,10.42764541411617,5459,0.08824198811427486
dea_gan,20,29.31985221677794,1.6584579007956417,0.9338371594799544,0.011463538550220656,0.011091928052718773,0.002141172125971621,0.0012592729800549344,0.000535942160644263,0.9841122568166254,0.00597195975709148,23.48511935655062,1.4144815135036752,0.9600316886650242,0.015285146815757036,0.03653771719721108,0.00549509523041293,0.004740510139617112,0.0018636718601194007,0.9608588430957532,0.01497201290503442,24.66045286233543,1.7728564707481897,0.9562093144924961,0.01913644727056174,0.0334593605876183,0.006642904276295191,0.3174047833349546,0.05435824493303565,0.6288728138307613,0.06659516041054436,0.0021221835042555194,0.0009554746943404268,0.005283606720494391,0.0015464659123221596,nan,nan,0.9361261332025175,0.05979916165001751,1.1620730576597271,0.0715783041754689,0.06625809222459793,0.009583335985119458,0.052646496705710887,0.011526775109787417,0.9,0.9,0.8820145636796951,25.179555351620632,0.06708203932499368,0.06708203932499368,0.20788302653772797,10.434550664402439,0.14383201681875896,0.2597791810128979,0.18806679421899697,0.15242004373812246,22.28573465854484,5459,0.1724388816780107
diff_hetero_nll,20,30.824235594590068,1.7920280071204495,0.9488873374083143,0.009565319637045698,0.008821526948953983,0.0015409573634250291,0.0009074966375406498,0.00047417713856033134,0.9883392175923704,0.006210133166043452,24.885444629630335,1.7714733760805639,0.9701721422166406,0.016004828222602727,0.029753713445691898,0.005197587759822293,0.003567048937015361,0.001970944359668408,0.9703567184933055,0.015932319347327018,26.017953671548185,2.1211261098318324,0.9670201442926858,0.020045592547471024,0.027423040450588333,0.006588418568597578,0.3174047833349546,0.05435824493303565,0.7997854164745613,0.07480395493196901,0.0021743597850806236,0.0006610170841820743,0.006941196295502092,0.0015933603588745456,1.356057277910049,0.22884303244194237,0.892641791199828,0.06011839011285676,1.1025292503354336,0.06146640384942397,0.04821350257843733,0.008887815767495949,0.0446431833319366,0.011689707177967556,1.0,1.0,0.9908699154853821,14.461942021506172,0.0,0.0,0.01676149693159887,5.208745692410386,0.3293006561424478,0.2688351966559347,0.15265595191369327,0.1678208322280914,22.43591218731163,5459,0.14601846076738623
diff_l1_organ_groupnorm,20,30.569654075678876,1.9169887229375366,0.9486359480649525,0.010123306073681592,0.008777585904326212,0.0016880353841767068,0.0009716474264647766,0.0005151717933859364,0.9876444912685312,0.006420631270161463,24.76786203769216,1.7903775074949835,0.9697948689578265,0.01603914881054647,0.028753495099346316,0.005107137530023386,0.003665670323396012,0.0020021535480363685,0.9698319499933117,0.016010796560984274,25.92891575192443,2.1456260249547996,0.966741535740564,0.020195100655604974,0.026806878955494245,0.006523485847354994,0.3174047833349546,0.05435824493303565,0.8409425047937606,0.07845937164083869,0.00214511933535065,0.0008190302295856194,0.006524847886726903,0.0015647245460964907,1.3559846984944377,0.22056663652740094,0.8970063600597408,0.05787354069543953,1.0991748852762822,0.06325551964846356,0.04778919406235218,0.008613731506746035,0.039998721331357956,0.011061683325565926,1.0,1.0,0.987880626320839,13.881809560684932,0.0,0.0,0.0331156768807669,5.883563674420743,0.26167992373499915,0.2411543208737269,0.1250413497689939,0.13219631095105733,28.16055478035821,5459,0.1166597471082671
diff_v,20,28.78694933198933,1.3635305639754578,0.9088380657457048,0.00971287587282003,0.01244403455877759,0.0016734120451997363,0.0013912857176241664,0.0005045061895327515,0.9821818822189602,0.006262971177183633,22.823003260903757,1.3043856622168857,0.9543544898381778,0.01645848640310491,0.038979068611341094,0.005232492360221044,0.005478023150045639,0.0020097706527754133,0.9544619276153934,0.01638225113280259,24.02834917766001,1.6464962141777888,0.9507923421836102,0.020531310393213962,0.034983872132626326,0.006703787328404045,0.3174047833349546,0.05435824493303565,0.8856020302691148,0.07963899796571247,0.001235878666904415,0.000566973408957867,0.003409266236457008,0.001373688283500906,1.3668167374786757,0.20799547401122812,1.8567177231784462,0.15135191043237156,2.0445836205819763,0.17011974577809513,0.05119839366525412,0.00996973974877593,0.03946940181776881,0.010772540804847935,1.0,1.0,0.9640835165977478,22.2459451511928,0.0,0.0,0.08804608199328517,8.748135189063401,0.08769656169163828,0.14337054534552446,0.1348393372760332,0.06573343831302639,13.546713389916363,5459,0.05202276424835883
diff_v_nocfg,20,28.880737397314043,1.4489501845442294,0.9198477464128743,0.00956497842462902,0.011826388648872872,0.0016849727276056594,0.001369658768656218,0.0005197439939337735,0.9824622247002166,0.006347136652097339,22.993203359377883,1.3491058715211943,0.9559543789373739,0.016424442585316303,0.037072317721059324,0.005045353061649344,0.005285729212737214,0.0020210374218611305,0.9559949111487891,0.01638810399681229,24.149751707494534,1.6969378892258677,0.9519725999287928,0.020701770848718,0.03381477877435744,0.006712250655373088,0.3174047833349546,0.05435824493303565,0.8902518580337266,0.08152768608628914,0.001264575900131409,0.0006444359739460672,0.0033798697843468576,0.0013430187522063067,1.3665773039051725,0.2049667799535928,1.7506815862727767,0.14578938719109202,1.9320272434381818,0.16494745638421393,0.05024640541523695,0.009638858661330404,0.03865654896944761,0.010750869667884345,1.0,1.0,0.9574980914592743,18.360454942612424,0.0,0.0,0.09332936599933807,7.17331049559965,0.1888277449686211,0.18308732882113263,0.12905391311720618,0.11349063567624547,13.258609796793138,5459,0.0523526427246046
diff_v_organ,20,28.404350876672112,1.2694758023106631,0.9267773268474336,0.0105131416390282,0.012521438870395554,0.0017577390326611565,0.0015096537346062334,0.0005138214782642429,0.980774390945899,0.006319493633987991,22.679815474140522,1.2608154420148439,0.9530503985193013,0.016538523606628653,0.04101689815073388,0.005270081139823425,0.005644367752652226,0.0020041881247996342,0.9530426375598692,0.016531726749756444,23.6393281036562,1.5502675386712939,0.9470682320497426,0.020551379952256178,0.03782122691206799,0.006794323249034748,0.3174047833349546,0.05435824493303565,0.8671696037435505,0.07654891362766512,0.0009115235867815038,0.0004975458446821523,0.002366255343888163,0.0012869494833764204,1.396199402816931,0.20237591123818283,1.8864599750261213,0.15325120913947152,2.030851631149087,0.1631885258356499,0.05935018435120583,0.01029728100588504,0.044328346475958826,0.011220397790629779,1.0,1.0,0.9931851863861084,14.604090577988398,0.0,0.0,0.012542421499129873,6.920118800635049,0.11224528751962064,0.141536815148809,0.030507833325892447,0.10010006395271459,28.5416833257201,5459,0.07795020986431567
diff_x0,20,28.739256039581015,1.3531903206705238,0.9338794709613012,0.009860895081161735,0.011312866706109521,0.0016778163397921588,0.0014056207890304514,0.0005054225128772728,0.9820030483576488,0.00623024824606295,22.712954612814535,1.2801801879557002,0.9535331602446527,0.01649435876244927,0.03918240457299401,0.0053948071214020305,0.005608735800511167,0.002016588827049009,0.9537051344953973,0.01638008287652713,23.948760209848423,1.6353830374848801,0.9502999434086329,0.020534062502505366,0.03490814182836618,0.006914671552916958,0.3174047833349546,0.05435824493303565,0.8482213532273815,0.07958911268251644,0.0016176234133473098,0.0005780673245065998,0.004594489646654853,0.0013551089334163972,1.3650257133794774,0.2222829970789247,1.5859557543454417,0.13864722959255318,1.8519247839170845,0.166041110874425,0.054931501671671865,0.00913687292978586,0.04365162719041109,0.01098465649145043,1.0,1.0,0.94997838139534,24.76153539112636,0.0,0.0,0.10181547618805176,9.527806796910447,0.0751228873997161,0.20609340899784723,0.12148958447203893,0.12316531622701435,18.300819809855085,5459,0.07876378241713944
