model,case,psnr,ssim,mae,mse,pcc,org_psnr,org_ssim,org_mae,org_mse,org_pcc,body_psnr,body_ssim,body_mae,body_mse,body_pcc,body_frac,raps_hf,grad_w1,org_grad_w1,seam,zflicker,zaniso,lpips,phase_match,agree_real,gen_prob,feature_l1_hu
cytran,1.2.840.113619.2.278.3.717616.286.1587944968.878_1.2.840.113619.2.278.3.717616.286.1587944968.981.4202498_deeds.nii.gz,29.67968642786579,0.9238379882603794,0.013118867398893598,0.001076542940079234,0.9836404223858943,23.013601544116,0.9530903769271719,0.046308362427151153,0.004996200351411838,0.957215895436603,25.89286154911262,0.9585567546977494,0.031557479178309325,0.002574624188336952,0.9619237283587403,0.41221642573459505,0.7862938489435953,0.0011395029945397248,0.0032418796494714302,nan,1.012198369087868,1.1190556138438856,nan,0,0,0.00117086386308074,37.07839762369792
cytran,1.2.840.113619.2.278.3.717616.323.1577925255.997_1.2.840.113619.2.278.3.717616.323.1577925256.95.4202498_deeds.nii.gz,29.302632196088453,0.9364107920944877,0.012173907857477415,0.0011741856822613372,0.985692229951639,22.590668195633768,0.9663479489911013,0.04737574772447963,0.005507229569023448,0.9721194889712799,24.539451934766483,0.9613303305521879,0.03714123656807168,0.003516048090895258,0.9663830852647318,0.322091862414412,0.923335889646776,0.000533469582509132,0.000948288153630966,nan,1.114615830934285,1.1170696335994934,nan,0,0,0.3531419634819031,56.0558827718099
cytran,1.2.840.113619.2.278.3.717616.166.1580339223.519_1.2.840.113619.2.278.3.717616.166.1580339223.616.4202498_deeds.nii.gz,30.659523630587238,0.9423473057364994,0.010714466042723376,0.0008591077502435635,0.9888474851584067,24.60148954557228,0.9665182808568011,0.037164280950687835,0.003466179468512593,0.9674392916683394,25.843881688845517,0.9663191226425197,0.03251219135864947,0.0026038252317702546,0.967276119387329,0.32588956636968297,0.7280609556288268,0.0011488696017215485,0.00230023644801861,nan,1.0703910833950943,1.2088665276858857,nan,0,0,0.36888429522514343,19.559804280598957
cytran,1.2.840.113619.2.278.3.717616.166.1580339223.956_1.2.840.113619.2.278.3.717616.166.1580339224.53.4202498_deeds.nii.gz,28.622085399517168,0.9216329510596287,0.012800182048689792,0.0013733823445684081,0.9842376936350704,23.730625609089266,0.9641546679923289,0.036084456369345624,0.004235819439061005,0.9649689075979272,24.232946530533916,0.9564965722985881,0.03513028143840134,0.0037731610877009157,0.957068191490209,0.3605398557027855,0.7014978736077192,0.0012520635289828565,0.0023801949643832763,nan,1.0401444823625114,1.2008721837850271,nan,1,1,0.44104036688804626,18.5328369140625
cytran,1.2.840.113619.2.278.3.717616.286.1593493292.675_1.2.840.113619.2.278.3.717616.286.1593493292.775.4202498_deeds.nii.gz,30.424253263187143,0.934651558622509,0.012025041742713169,0.0009069318913198947,0.9899548026069257,24.825721465274484,0.9723693879511116,0.03373913537817675,0.0032917576495470288,0.9736015803956692,26.76460717113571,0.9728405473795805,0.027998447244093273,0.0021063924181791618,0.9738077889854893,0.4253575697439112,0.7426606866770347,0.001232620941719254,0.001686032881541286,nan,1.061930622713549,1.1818365699668356,nan,1,1,0.43549102544784546,27.55612589518229
cytran,1.2.840.113619.2.278.3.717616.306.1582703661.35_1.2.840.113619.2.278.3.717616.306.1582703661.129.4202498_deeds.nii.gz,28.76700835327945,0.933997632345723,0.011822813173581656,0.001328309151216457,0.9824577360122885,22.62525880837763,0.9546582703779233,0.04299796680028163,0.00546353990130576,0.956750144036189,23.400495411126187,0.9454027063886797,0.04063158639006181,0.004570360513379611,0.9471687436214833,0.2882795300858457,0.7361012673614965,0.0012079125972668007,0.0038617452425630133,nan,0.9959492769197857,1.1436905758361,nan,0,0,0.27260416746139526,31.559403555733816
cytran,1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920_1.2.392.200036.9116.2.5.1.37.2418751871.1526973364.470863_deeds.nii.gz,27.53415859709363,0.9113605050092773,0.015291691987061725,0.001764347556377221,0.9849856059653219,22.44166194035939,0.9596007083392664,0.04751495723189852,0.00569946125891522,0.962931864731733,23.230542716247797,0.9525355132328845,0.044478526241974875,0.004752758293713683,0.9552564179618763,0.2830902040602605,0.6972795425097019,0.002402734329674453,0.00372402296527828,nan,1.0760296579177584,1.2522742049576614,nan,1,1,0.8418492078781128,39.49519566127232
cytran,1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455_1.2.392.200036.9116.2.5.1.37.2418751871.1522985393.543093_deeds.nii.gz,28.286689118770248,0.9253212810305136,0.013863201193710898,0.0014836487264451629,0.9843123740879774,23.11038760712713,0.9615054298987875,0.043237417633219165,0.004886087491444252,0.9629491936267383,24.27474338714911,0.9600652742659721,0.039338748558275405,0.003737022057813197,0.9616629474613355,0.2872439413280216,0.7301485201675786,0.0023547377414190386,0.0021591227061652815,nan,1.1593956226934163,1.2772024117172762,nan,1,1,0.8577288389205933,34.996543884277344
cytran,1.2.840.113619.2.278.3.717616.310.1589696975.113_1.2.840.113619.2.278.3.717616.310.1589696975.214.4202498_deeds.nii.gz,29.387897496489607,0.9296218126728177,0.010980024312468894,0.0011513576485300892,0.9859406486372796,22.876757695140405,0.961432953114976,0.03981076791437165,0.005156134415673763,0.9623935323496321,24.193008882886744,0.9574847021792979,0.03623146912690222,0.0038080190446639246,0.9583257400985735,0.29022336311819963,0.6771051691616903,0.0011822968200782499,0.0027430931904547412,nan,1.067981628772548,1.2341836074765478,nan,0,0,0.006443105638027191,29.66079330444336
cytran,1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879_1.2.392.200036.9116.2.5.1.37.2418751871.1574737469.513228_deeds.nii.gz,26.16934357475518,0.9087205495243846,0.017000683904491887,0.002415825952900076,0.9748072536665826,21.165039712168795,0.9453560050039908,0.05015159661833634,0.007647086958610055,0.9474492877190437,21.968412462176424,0.935565591468456,0.045555219782641085,0.0063556321577322135,0.9366688218500286,0.31846080952428396,0.7599813530494013,0.0026433059581034805,0.002841323979609813,nan,1.366769270870275,1.4816804797466918,nan,1,1,0.48432502150535583,29.883038112095424
cytran,1.2.840.113619.2.278.3.717616.259.1592554882.977_1.2.840.113619.2.278.3.717616.259.1592554883.67.4202498_deeds.nii.gz,30.091414557500322,0.9407735827760411,0.012282311870623239,0.0009791710038554095,0.9885430594298779,23.53562932893393,0.970586119834191,0.04406155870631082,0.004430340105135698,0.9739924277893518,25.931697790291437,0.9707233030803372,0.03200713660254197,0.0025517035684872527,0.9738062170757139,0.38002527931945435,0.6951033814112214,0.0016462136645081684,0.004031872255625002,nan,0.9948363825667826,1.1554667350843881,nan,0,0,0.0011358412448316813,45.08541564941406
cytran,1.2.840.113619.2.278.3.717616.249.1585713660.403_1.2.840.113619.2.278.3.717616.249.1585713660.663.12_deeds.nii.gz,27.234658510091787,0.9363121304653697,0.013485262770691385,0.0018903148626103743,0.9749767645755617,19.942185361894776,0.9160149118237394,0.06487319764519221,0.010134013157245454,0.9293122808271546,21.007862785582194,0.9099130672829792,0.05647966115119779,0.007928914257187543,0.9209111945195915,0.2348892779970323,0.6031029106220277,0.0021491305087461584,0.006890872228969724,nan,1.0297228391956141,1.3735865203449127,nan,0,0,0.061614423990249634,51.73433837890625
cytran,1.2.840.113619.2.278.3.717616.306.1582703645.873_1.2.840.113619.2.278.3.717616.306.1582703646.13.4202498_deeds.nii.gz,29.521096013262266,0.9350286057645741,0.010769960263644612,0.0011165814246086709,0.9837875549195254,22.688819814177137,0.9539219238632053,0.04516585550019123,0.00538416076037283,0.9559816523485614,23.90936031858448,0.9520615283777735,0.03933233378762412,0.004065031994613949,0.9540842977918949,0.2514754137276546,0.7998266913966361,0.0010373160979602932,0.0015880734818356408,nan,1.1270856722360068,1.199333554179826,nan,1,1,0.5116844177246094,37.01139424641927
cytran,1.2.840.113619.2.278.3.717616.286.1587944983.828_1.2.840.113619.2.278.3.717616.286.1587944983.915.4202498_deeds.nii.gz,30.523776568848334,0.9537030864310178,0.009750881437663641,0.0008863848879308053,0.9890041165451384,23.512512186827486,0.9660619099785362,0.04371193205955286,0.004453985320192402,0.9706638821416315,24.53853329840069,0.9615367624783914,0.03927461251787081,0.00351679189755333,0.9658095093453554,0.241579215748046,0.7375079868235087,0.0012006700660497029,0.003892754453187319,nan,1.0136591155345949,1.1690198308183952,nan,0,0,0.0016726674512028694,52.31178385416667
cytran,1.2.392.200036.9116.2.5.1.37.2418751871.1432695579.168588_1.2.392.200036.9116.2.5.1.37.2418751871.1432696175.178596_deeds.nii.gz,27.778069084932522,0.9182801023505878,0.01498513260587489,0.0016679886515222906,0.9818161322506774,22.830671389536484,0.9571388251454507,0.04438121337341218,0.005211141441986376,0.9610864166917467,24.030292526156472,0.9546364422871763,0.040083698321293965,0.003953399903991812,0.9580238935344856,0.317671122707103,0.7582135580121777,0.002431681367549292,0.003090405201472637,nan,1.0830208491918834,1.2325689894762952,nan,0,0,0.3797827363014221,56.69839070638021
