gen_path,real_path,mask_path,target_phase
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.286.1587944968.878/1.2.840.113619.2.278.3.717616.286.1587944968.878_1.2.840.113619.2.278.3.717616.286.1587944968.883.3_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.286.1587944968.878/1.2.840.113619.2.278.3.717616.286.1587944968.878_1.2.840.113619.2.278.3.717616.286.1587944968.981.4198401_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.286.1587944968.878/1.2.840.113619.2.278.3.717616.286.1587944968.878_1.2.840.113619.2.278.3.717616.286.1587944968.981.4198401_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.323.1577925255.997/1.2.840.113619.2.278.3.717616.323.1577925255.997_1.2.840.113619.2.278.3.717616.323.1577925256.2.3_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.323.1577925255.997/1.2.840.113619.2.278.3.717616.323.1577925255.997_1.2.840.113619.2.278.3.717616.323.1577925256.95.4198401_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.323.1577925255.997/1.2.840.113619.2.278.3.717616.323.1577925255.997_1.2.840.113619.2.278.3.717616.323.1577925256.95.4198401_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.166.1580339223.519/1.2.840.113619.2.278.3.717616.166.1580339223.519_1.2.840.113619.2.278.3.717616.166.1580339223.524.3_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.166.1580339223.519/1.2.840.113619.2.278.3.717616.166.1580339223.519_1.2.840.113619.2.278.3.717616.166.1580339223.616.4198401_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.166.1580339223.519/1.2.840.113619.2.278.3.717616.166.1580339223.519_1.2.840.113619.2.278.3.717616.166.1580339223.616.4198401_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.166.1580339223.956/1.2.840.113619.2.278.3.717616.166.1580339223.956_1.2.840.113619.2.278.3.717616.166.1580339223.961.3_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.166.1580339223.956/1.2.840.113619.2.278.3.717616.166.1580339223.956_1.2.840.113619.2.278.3.717616.166.1580339224.53.4198401_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.166.1580339223.956/1.2.840.113619.2.278.3.717616.166.1580339223.956_1.2.840.113619.2.278.3.717616.166.1580339224.53.4198401_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.286.1593493292.675/1.2.840.113619.2.278.3.717616.286.1593493292.675_1.2.840.113619.2.278.3.717616.286.1593493292.680.3_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.286.1593493292.675/1.2.840.113619.2.278.3.717616.286.1593493292.675_1.2.840.113619.2.278.3.717616.286.1593493292.775.4198401_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.286.1593493292.675/1.2.840.113619.2.278.3.717616.286.1593493292.675_1.2.840.113619.2.278.3.717616.286.1593493292.775.4198401_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.306.1582703661.35/1.2.840.113619.2.278.3.717616.306.1582703661.35_1.2.840.113619.2.278.3.717616.306.1582703661.40.3_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.306.1582703661.35/1.2.840.113619.2.278.3.717616.306.1582703661.35_1.2.840.113619.2.278.3.717616.306.1582703661.129.4198401_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.306.1582703661.35/1.2.840.113619.2.278.3.717616.306.1582703661.35_1.2.840.113619.2.278.3.717616.306.1582703661.129.4198401_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920/1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920_1.2.392.200036.9116.2.5.1.37.2418751871.1526972986.489177_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920/1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920_1.2.392.200036.9116.2.5.1.37.2418751871.1526973181.155618_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920/1.2.392.200036.9116.2.5.1.37.2418751871.1526972837.526920_1.2.392.200036.9116.2.5.1.37.2418751871.1526973181.155618_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455/1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455_1.2.392.200036.9116.2.5.1.37.2418751871.1522985029.512601_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455/1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455_1.2.392.200036.9116.2.5.1.37.2418751871.1522985252.600093_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455/1.2.392.200036.9116.2.5.1.37.2418751871.1522984884.757455_1.2.392.200036.9116.2.5.1.37.2418751871.1522985252.600093_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.310.1589696975.113/1.2.840.113619.2.278.3.717616.310.1589696975.113_1.2.840.113619.2.278.3.717616.310.1589696975.118.3_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.310.1589696975.113/1.2.840.113619.2.278.3.717616.310.1589696975.113_1.2.840.113619.2.278.3.717616.310.1589696975.214.4198401_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.840.113619.2.278.3.717616.310.1589696975.113/1.2.840.113619.2.278.3.717616.310.1589696975.113_1.2.840.113619.2.278.3.717616.310.1589696975.214.4198401_deeds_seg_full.nii.gz,arterial
../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879/1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879_1.2.392.200036.9116.2.5.1.37.2418751871.1574737081.879678_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879/1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879_1.2.392.200036.9116.2.5.1.37.2418751871.1574737322.988342_deeds.nii.gz,../sample_data_reg/ncct_cect/vindr_ds/all_baseline_algorithms/B2_deeds__aligned/1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879/1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879_1.2.392.200036.9116.2.5.1.37.2418751871.1574737322.988342_deeds_seg_full.nii.gz,arterial
