organ,importance,coverage,medianHU_non-contrast,medianHU_arterial,medianHU_venous
aorta,0.29270583391189575,410,39.0,276.6673583984375,131.8970947265625
liver,0.29036760330200195,410,58.0,68.11984252929688,103.10174560546875
heart,0.23499326407909393,410,40.0,181.3902587890625,124.50262451171875
pancreas,0.03707133233547211,406,43.0,95.063232421875,88.96142578125
inferior_vena_cava,0.028812717646360397,410,39.0,63.474029541015625,104.24365234375
iliac_vena_right,0.02412555180490017,368,43.0,50.65216064453125,86.4130859375
portal_vein_and_splenic_vein,0.02341216430068016,404,37.0,97.2537841796875,131.254638671875
urinary_bladder,0.018714066594839096,356,14.0,14.55145263671875,15.4521484375
iliac_artery_left,0.014458023011684418,378,41.0,215.822021484375,118.63262939453125
gallbladder,0.00842408649623394,338,20.5,25.3480224609375,29.1630859375
colon,0.007464724592864513,406,-18.5,-22.24725341796875,-15.8604736328125
iliac_artery_right,0.005932454019784927,377,44.5,221.62353515625,122.91473388671875
pulmonary_vein,0.005319549702107906,235,21.0,196.66665649414062,99.94256591796875
small_bowel,0.0053192805498838425,403,23.0,38.31402587890625,45.3531494140625
iliac_vena_left,0.002879323437809944,364,43.0,51.24688720703125,87.2589111328125
brain,0.0,0,,,
